abs,adaptive_cruise_control,age_when_licensed,airbags,anti_theft_dsc_ind,assignedlossespd3yrs_cg,auto_parking,blind_spot,body_style_transition,brake_assist,camera,cargo_length,class_curr,co2_emissions,convertible_indicator,convictioncountmajor3yrs_cg,convictioncountminor3yrs_cg,convictioncriminal3yrs,credit_consent,credit_score,credit_score_avg,cross_traffic,curb_weight,datasource,deductible_amount_m,diploma_above_bachelor,diploma_bachelor,diploma_college,diploma_high_school,diploma_no,diploma_trades,diploma_univ_certificate,drive_train,driver_count,driver_monitor,driverage_m,drv_training_ind,engine_availability,engine_configuration,engine_cylinder,engine_displacement,engine_forced_induction,engine_fuel,engine_supplemental,er_enrolledind_cg,exposure,fsa_m,fuel_cons_city_l_per_100k,fuel_cons_comb_l_per_100k,fuel_cons_comb_mpg,fuel_cons_hwy_l_per_100k,fuel_cons_model_sim_score,full_cov_ind,garagedpostalcode_cg,gender,grad_lic_dsc_ind,headlight,hill_start,homeowner_flag,homeowner_ratio,horsepower,household_income,hybrid_veh_dsc_ind,lane_assist,large_city_ind,limit_amount_m,marital_status,mitigation_all_speed,mitigation_low_speed,mover_ratio,multi_prod_dsc_ind,multi_veh_dsc_ind,nsf_flag,occupation_arts,occupation_business,occupation_edu_gov,occupation_health,occupation_management,occupation_other,occupation_science,occupation_service,occupation_trades,oo_ind,perimeter_detection,pol_op_cnt,pol_veh_cnt,preferredclientrating_cg,price,programmable_key,region_curr,retiree_dsc_ind,rolling_year_m,size_code,stability_control,suspensioncount_cg,tenant_flag,terr_curr,theft_deterrent_system,timelicensed_cg,traction_control,traffic_jam_assist,unemployed_rate,urban_rural_curr,use,veh_acq_type,veh_age_when_pur,veh_gtr_op_dsc_ind,veh_own_yrs,vehicleage_m,vehiclecode_cg_4,vrg_actual,wheelbase,yearsclaimsfree_m,incurred_loss_m,claim_count_new
4,0,41,5,N,0,0,0,4D,2,1,0,32,206,0,0,1,0,Y,789,740.868421,0,1439,PMSC,0,0.1026541541,0.2478361639,0.1582240052,0.2478361639,0.2170645052,0.1026541541,0.0246926126,1,1,0,55,N,STD,L,4,2500,"",G,0,0,"10,001 to 20,000 kms",L4W,10.2,8.95,31.5,7.4,360,1,L4W2W2,Female,N,0,0,1,0.9333333333,175,106281.58,N,0,Yes,1000000,Married,0,0,0.2272727273,Y,Y,0,0,0.1941560144,0.125163143,0.0606246218,0.1941560144,0.125163143,0.0606246218,0.1941560144,0.125163143,0,0,2,2,0,24515,0,COR,N,2015,L,0,0,0,62,CEG1,14,0,0,0,U,WA,Purchased New,0,N,5,5,0910,,2776,5,2050.11,1
4,0,17,5,N,0,0,1,4D,2,1,0,301,239,0,0,0,0,Y,3000,723.975,1,1650,PC,,0.1571855835,0.3060312111,0.2578291093,0.2461330695,0.1361321743,0.0183491387,0,2,1,0,40,N,STD,V,6,3000,"",G,0,0,"20,001 to 30,000 kms",N6H,12,10.4,27,8.3,590,1,N6H4M8,Female,N,0,0,0,0.9836065574,240,113015.12,N,0,No,2000000,Single,0,0,0.24,Y,N,0,0.0425596144,0.149531734,0.3448404863,0.0719734996,0.1022788491,0.028170877,0.0719734996,0.2336148512,0.0571584138,0,0,1,1,1,33074,2,COR,N,2017,L,2,0,0,35,CEG1,23,2,0,4.2,U,WA,Purchased Used,1,N,3,4,3444,,2726,23,2320.78,1
4,0,16,5,N,0,0,0,LP,0,0,0,34,352,0,0,0,0,Y,449,756.453558,0,1990,PMSC,0,0.0827698645,0.1772770498,0.3134566951,0.3124780619,0.1491932047,0.0691291948,0.0153849188,2,1,0,83,N,STD,V,6,3500,"",G,0,0,"10,001 to 20,000 kms",N0M,17.3,15.3,18.5,12.85,680,1,N0M2A0,Male,N,0,0,0,0.8785679729,192,143107.92,N,0,No,2000000,Married,0,0,0.2917166867,Y,N,0,0.0189479353,0.1476833978,0.157806991,0.0909055739,0.1696802114,0.104704183,0.0539127513,0.1808627673,0.1480863799,0,0,1,1,1,38263,0,COR,Y,2015,M,0,0,1,35,E,67,0,0,4.9,U,P,Purchased New,1,N,8,9,1046,,2710,67,110006.24,1
4,0,27,4,N,0,0,0,SW,0,0,0,29,201.67,0,0,1,0,Y,691,745.57047,0,1340,PMSC,0,0.0189965007,0.0355714658,0.2353140869,0.4340969208,0.3620657926,0.0552626787,0.0272496424,2,1,0,34,N,STD,L,4,1800,"",G,0,0,"10,001 to 20,000 kms",M1M,9.77,8.77,32,7.6,530,0,M1M2E8,Male,N,0,0,0,0.0096153846,118,26461.11,N,0,No,1000000,Single,0,0,0.4243902439,Y,N,0,0.0331522073,0.1273394224,0.0558804584,0.1029479693,0.0331522073,0.0791373206,0.0909717782,0.4109147129,0.1779831552,0,0,1,1,0,26563,0,COR,N,2014,M,0,0,1,64,EG1,7,0,0,7.1,U,WB,Purchased Used,6,N,2,8,7666,,2600,7,1577.91,1
4,0,22,5,N,1,0,0,4D,2,0,0,33,208,0,0,1,0,"",587,764.032787,0,1371,PMSC,0,0.0183491387,0.1361321743,0.3184537311,0.3184537311,0.2231435513,0.1155128871,0,1,1,0,64,N,STD,L,4,2000,"",G,0,0,"0 to 10,000 Km",K6J,10.1,9.05,31,7.7,270,1,K6J5W8,Male,N,0,0,0,0.5357142857,138,51420.99,N,0,No,2000000,Married,0,0,0.3692307692,N,Y,0,0.0350913198,0.1892419996,0.071458964,0.071458964,0.071458964,0.0350913198,0.0350913198,0.1892419996,0.4228568508,0,0,1,1,0,20265,0,NEW,N,2015,M,2,0,0,23,CEG1,42,2,0,20,R,P,Purchased Used,3,N,0,3,1542,,2700,0,1940,1
4,0,26,5,N,0,0,0,SP,2,2,0,301,209,0,0,0,0,"",646,730.859375,0,1785,PMSC,0,0.1801261662,0.3212047645,0.193371393,0.3364722366,0.0920188987,0,0.0110498362,2,1,0,41,N,STD,L,4,2400,"",G,0,0,"0 to 10,000 Km",L5M,10.5,9.1,31,7.3,430,1,L5M7P7,Female,N,0,0,0,0.5609756098,182,84644.62,N,0,Yes,1000000,Married,0,0,0.495412844,Y,Y,0,0.0176995771,0.2363887781,0.1512309697,0.0727593543,0.0918075493,0.0176995771,0.1310282624,0.2363887781,0.1310282624,0,0,2,2,0,32303,0,COR,N,2015,L,2,0,1,60,CEG1,15,2,0,1.7,U,P,Purchased New,0,N,2,2,5878,,2858,15,1563.54,1
4,0,17,5,N,0,0,0,4D,2,0,0,32,194,0,0,0,0,Y,845,729.577922,0,1407,PC,,0.0689928715,0.058063801,0.1978257433,0.477209013,0.2295744416,0.1139442593,0.0051413995,1,1,0,57,N,STD,L,4,1800,"",G,0,0,"0 to 10,000 Km",L1G,10,8.45,33.5,6.6,270,1,L1G6G1,Male,N,0,0,0,0.214953271,136,52098.68,N,0,No,2000000,Single,0,0,0.6210045662,Y,N,0,0.0540672213,0.1471576443,0.0540672213,0.1594277369,0.0765400771,0.0540672213,0.0430173851,0.3491842722,0.1594277369,0,0,1,1,1,16270,0,COR,Y,2018,M,2,0,1,66,EG1,40,2,0,27.8,U,P,Purchased Used,3,N,2,5,5098,,2685,40,79541.26,1
4,0,17,4,N,0,0,0,2P,0,0,0,26,,0,0,0,0,Y,762,746.272727,0,3112,PC,,0,0.1361321743,0.2461330695,0.4519851237,0.2231435513,0.0755075525,0.0183491387,2,1,0,22,Y,STD,L,6,5900,T,D,0,0,"20,001 to 30,000 kms",L9Z,,,,,6200,1,L9Z1P1,Male,N,0,0,1,0.9230769231,235,90280.22,N,0,No,2000000,Single,0,0,0.3606557377,Y,Y,0,0.0273989742,0.1769307082,0.1144103512,0.0555698512,0.1144103512,0.1144103512,0.0273989742,0.2436220827,0.209720531,0,0,1,1,0,46184,0,NEW,N,2019,L,0,0,0,57,DEG,5,0,0,12.5,R,WC,Purchased Used,14,N,1,15,2776,,4073,5,37.8,1
4,0,34,4,N,0,0,0,2D,0,0,0,301,233.5,0,0,0,0,Y,787,763.015385,0,1172,PC,,0.0680534632,0.1410785983,0.2876820725,0.3417492937,0.2035989552,0.0680534632,0.0132452268,1,1,0,40,N,STD,L,4,2200,"",G,0,0,"10,001 to 20,000 kms",L3C,11.9,10.15,28,8,160,1,L3C3C8,Male,N,0,0,0,0.9428571429,115,109506.05,N,0,No,1000000,Single,0,0,0.1666666667,Y,N,0,0,0.1541506798,0.3364722366,0.0588405,0.0289875369,0.0289875369,0.0588405,0.3364722366,0.121360857,0,0,1,1,0,16869,0,COR,N,2016,M,0,0,0,87,E,6,0,0,5.4,U,WA,Purchased Used,3,N,13,16,5537,,2644,6,745341.43,1
4,0,16,5,N,0,0,0,4D,2,0,0,29,241.5,0,0,0,0,Y,747,758.640858,0,1590,PC,,0.023585999,0.0737494207,0.3444292175,0.3200575807,0.2354568115,0.1186575438,0.0188240852,2,1,0,36,Y,STD,L,4,2000,T,G,0,0,"10,001 to 20,000 kms",N0H,12.1,10.5,27,8.45,930,1,N0H1A0,Female,N,2,0,1,0.8523002421,200,83941.86,N,0,No,2000000,Married,0,0,0.2451874367,Y,Y,0,0.0184620628,0.1004044343,0.0959201219,0.0694285064,0.1026541541,0.087011377,0.0351639125,0.3291818034,0.2635845209,0,0,2,2,1,48599,0,NEW,N,2017,M,2,0,0,84,CEG1,20,2,0,8.1,R,P,Purchased Used,9,N,2,11,9573,,2648,20,1603.03,1
